number;title;goal;tipp;description;image;a;b;c1;c2;alltag;bei_der_arbeit;hilfe_holen;kommunikation;reisen;unterhaltung_kultur;unterwegs;zu_hause
11;Alarmsysteme im Haus;Steigern Sie Ihre Sicherheit im Haus.;Ergänzen Sie Ihre Signalanlage mit Alarmsignalen von verschiedenen Geräten, wie Rauchmeldern oder Infrarot-Bewegungsmeldern. Diese Geräte warnen Sie bei Gefahr durch Licht oder Vibration.;Solche Alarmsysteme bieten eine zusätzliche Sicherheitsebene. Zum Beispiel, wenn ein Rauchmelder in der Küche Rauch erkennt oder wenn ein Bewegungsmelder eine unbefugte Bewegung am Fenster feststellt, erhalten Sie umgehend eine Warnung.;Signalanlagen.png;1;1;1;1;0;0;0;0;0;0;0;1
12;Gegensprechanlagen mit Bildschirm;Wissen Sie, wer vor Ihrer Tür steht.;Für zusätzlichen Komfort und Sicherheit können Sie eine Gegensprechanlage nutzen. Damit haben Sie nicht nur die Möglichkeit, mit der Person vor der Tür zu sprechen, sondern können auch auf einem Bildschirm sehen, wer es ist.;Eine Gegensprechanlage ermöglicht es Ihnen, Besucher zu identifizieren, bevor Sie die Tür öffnen, und gibt Ihnen so ein zusätzliches Gefühl von Sicherheit und Kontrolle.;Gegensprechanlage.png;1;1;1;1;0;0;0;0;0;0;0;1
13;Lichtsignal bei Zimmerbetritt;Vermeiden Sie Überraschungen beim Betreten des Zimmers.;Wenn jemand Ihr Zimmer betritt, kann ein kurzes Betätigen des Lichtschalters als Signal dienen. Eine Steigerung wäre, Schalter direkt vor dem Zimmer zu installieren.;Dies kann eine effektive Methode sein, um sich nicht unerwartet von anderen überraschen zu lassen, und so die Nervosität zu verringern.;Lichtsignal.png;1;0;0;0;0;1;0;0;0;0;0;1
14;Lichtsignal bei Zimmerbetritt;Vermeiden Sie Überraschungen beim Betreten des Zimmers.;Wenn jemand Ihr Zimmer betritt, kann ein kurzes Betätigen des Lichtschalters als Signal dienen. Eine Steigerung wäre, Schalter direkt vor dem Zimmer zu installieren.;Für Menschen, die nicht gut hören, kann dies eine effektive Methode sein, um sich nicht unerwartet von anderen überraschen zu lassen, und so die Nervosität zu verringern.;Lichtsignal.png;0;1;1;1;0;1;0;0;0;0;0;1
15;Vermeidung von Überraschungen durch diskrete Signalgeber;Erhalten Sie diskrete Hinweise auf Annäherungen.;Nutzen Sie vibrierende Signalgeber oder Schaltungen, die nur ein schwaches Licht erzeugen. Diese sind nur für Sie bemerkbar und stören Arbeitskollegen oder Mitbewohner möglicherweise weniger.;Diese Signale bieten eine unaufdringliche Möglichkeit, sich der Anwesenheit anderer bewusst zu werden, ohne auf akustische Hinweise angewiesen zu sein.;Diskreter Signalgeber.png;1;1;1;1;0;1;0;0;0;0;0;1
16;Annäherungserkennung durch körperliche Berührung;Erkennung der Annäherung anderer Menschen ohne akustisches Signal.;Verabreden Sie eine einfache Berührung, wie z.B. ein leichtes Auf-die-Schulter-Tippen, wenn sich jemand von hinten oder von der Seite nähert.;Solch eine Absprache ermöglicht es, unangenehme Überraschungen durch Annäherungen zu vermeiden und bietet eine einfache und respektvolle Art, auf die Anwesenheit anderer hinzuweisen.;Körperliche Berührung.png;1;1;1;1;1;1;0;1;0;0;0;1
17;Optische Signale für Haushaltsgeräte;Nehmen Sie alle Signale ihrer Haushaltsgeräte wahr;Wenn Sie sich neue Geräte anschaffen, fragen Sie nach Modellen, die akustische Signale durch optische ergänzen.;Optische Signale helfen, wichtige Benachrichtigungen von ihren Geräten nicht zu verpassen. Beispielsweise um auch außerhalb der Küche die laufende Dunstabzugshaube wahrzunehmen oder zu bemerken, dass das Waffeleisen klingelt.;Haushaltsgerät.png;1;0;0;0;0;0;0;0;0;0;0;1
18;Optische Signale für Haushaltsgeräte;Vermeiden Sie das Überhören von Signalen.;Wenn Sie sich neue Geräte anschaffen, fragen Sie nach Modellen, die akustische Signale durch optische ergänzen.;Optische Signale helfen Hörgeschädigten, wichtige Benachrichtigungen von ihren Geräten nicht zu verpassen. Beispielsweise wenn sie  außerhalb der Küche die laufende Dunstabzugshaube überhören oder nicht bemerken, dass das Waffeleisen klingelt.;Haushaltsgerät.png;0;1;1;1;0;0;0;0;0;0;0;1
19;Wahl leiserer Haushaltsgeräte;Mehr Komfort und weniger Störungen im Haushalt;Bei der Anschaffung größerer Geräte, wie Spülmaschinen oder Staubsauger, sollten Sie gezielt nach leiseren Modellen fragen.;Ein leiseres Gerät reduziert die Wahrscheinlichkeit, wichtige andere Signale zu überhören.;Haushaltsgerät.png;1;1;0;0;0;0;0;0;0;0;0;1
20;Wahl leiserer Haushaltsgeräte;Mehr Komfort und weniger Störungen im Haushalt;Bei der Anschaffung größerer Geräte, wie Spülmaschinen oder Staubsauger, sollten Sie gezielt nach leiseren Modellen fragen.;Ein leiseres Gerät reduziert die Notwendigkeit, Hörgeräte wegen störenden Geräuschen herauszunehmen, was wiederum die Wahrscheinlichkeit verringert, wichtige Signale zu überhören.;Haushaltsgerät.png;0;0;1;1;0;0;0;0;0;0;0;1
21;Anstecker für Hörgeschädigte;Verständigungsprobleme im Alltag minimieren;Wenn Sie trotz moderner Technik immer noch Schwierigkeiten beim Verstehen haben, tragen Sie ein Symbol für „Hörgeschädigte“ als Anstecker. Dieses Symbol, oft ein durchgestrichenes Ohr, informiert andere über Ihre Hörschwierigkeiten und kann bei der Kommunikation helfen.;Ein solcher Anstecker macht Ihr Gegenüber darauf aufmerksam, dass Sie hörgeschädigt sind und ermöglicht so ein besseres Verständnis und Rücksichtnahme im täglichen Miteinander.;Anstecker für Hörgeschädigte.png;0;1;1;1;1;0;0;1;1;0;1;0
22;Hinweiskästchen auf Reisen;Mehr Sicherheit beim Resien;Bei Reisen sollten Sie ein Hinweiskästchen für Hörgeschädigte dabei haben. Dieses Kästchen kann wichtige Informationen über Ihre Hörschwierigkeiten enthalten und im Notfall hilfreich sein.;Das Mitführen eines solchen Kästchens auf Reisen stellt sicher, dass andere Personen in verschiedenen Situationen, wie z.B. beim Einchecken oder bei der medizinischen Versorgung, über Ihre Hörschwierigkeiten informiert sind.;Anstecker für Hörgeschädigte.png;0;1;1;1;0;0;0;1;1;0;1;0
23;Durchgestrichenes Ohr-Symbol;Öffentliche Kenntlichmachung Ihrer Hörschwierigkeiten.;Das durchgestrichene Ohr-Symbol gibt es in verschiedenen Größen. Während große Aufkleber sich für die Rückseite Ihres Pkw eignen, können kleinere Symbole auf wichtige Dokumente geheftet werden.;Dieses Symbol ist ein universell verständliches Zeichen für Hörschwierigkeiten. Es hilft dabei, sowohl im Straßenverkehr als auch bei offiziellen Anlässen oder Terminen, andere über Ihre Hörschwierigkeiten zu informieren.;Anstecker für Hörgeschädigte.png;0;1;1;1;1;0;0;1;1;0;1;0
24;Vorbereitung für unterwegs;Eine reibungslose Kommunikation sicherstellen;Immer mit Papier und Stift aus dem Haus zu gehen hilft Ihnen, in Situationen, in denen die verbale Kommunikation nicht funktioniert, Nachrichten zu übermitteln.;Papier und Stift können als einfache, aber effektive Kommunikationsmittel dienen, insbesondere wenn technische Hilfsmittel versagen oder nicht verfügbar sind.;Papier und Stift.jpg;1;1;1;1;1;0;0;1;1;0;1;0
25;"Die ""Zaubertafel""";Schnelle und löschbare Kommunikation ermöglichen;"Eine ""Zaubertafel"" aus Kindertagen, auf der man Geschriebenes sofort wieder löschen kann, ist ein nützliches Tool, um schnell und effizient zu kommunizieren.";Mit einer solchen Tafel können Sie Botschaften schnell aufschreiben und ebenso schnell löschen, was sie zu einem praktischen Kommunikationsmittel macht.;zaubertafel.png;1;0;0;0;1;0;0;1;1;0;1;0
26;"Die ""Zaubertafel""";Schnelle und löschbare Kommunikation ermöglichen;"Eine ""Zaubertafel"" aus Kindertagen, auf der man Geschriebenes sofort wieder löschen kann, ist ein nützliches Tool für viele Hörgeschädigte, um schnell und effizient zu kommunizieren.";Mit einer solchen Tafel können Sie Botschaften schnell aufschreiben und ebenso schnell löschen, was sie zu einem praktischen Kommunikationsmittel macht.;zaubertafel.png;0;1;1;1;1;0;0;1;1;0;1;0
27;Handy für unterwegs;Digitale Kommunikation unterwegs.;Ein Handy, mit dem Sie vertraut sind, kann unterwegs sehr nützlich sein. Mit ihm können Sie Nachrichten tippen oder passende Apps nutzen.;Smartphones bieten viele Funktionen, die die Kommunikation erleichtern, von Textnachrichten bis hin zu spezialisierten Apps.;handy.jpg;1;0;0;0;1;0;0;1;1;0;1;0
28;Handy für unterwegs;Digitale Kommunikation unterwegs.;Ein Handy, mit dem Sie vertraut sind, kann unterwegs sehr nützlich sein. Mit ihm können Sie Nachrichten tippen oder spezielle Apps für Hörgeschädigte nutzen.;Smartphones bieten viele Funktionen, die die Kommunikation für Hörgeschädigte erleichtern, von Textnachrichten bis hin zu spezialisierten Apps.;handy.jpg;0;1;1;1;1;0;0;1;1;0;1;0
29;Einkaufen mit Hörgeräten;Erleben Sie einen stressfreien Einkauf.;Achten Sie darauf, Geschäfte zu wählen, in denen der Geräuschpegel nicht zu hoch ist. Hintergrundmusik kann störend sein, besonders wenn Sie versuchen, einem Verkäufer zuzuhören oder sich beraten zu lassen.;"Eine Hörschädigung wirkt sich stärker auf das Verstehen aus, wenn der Geräuschpegel hoch ist. Ein ruhiges Umfeld erleichtert die Kommunikation und verringert die Höranstrengung. So ist das Einkaufserlebnis für angenehmer und  ermüdet Sie weniger.
 ";Einkaufen.jpg;0;0;1;1;1;0;0;0;0;0;1;0
30;Friseurbesuch mit Hörgeräten;Verstehen Sie Ihren Friseur und genießen Sie Ihren Termin.;Es kann hilfreich sein, vorab mitzuteilen, dass Sie ein Hörgerät tragen, um mögliche Kommunikationshindernisse zu vermindern. Wenn der Föhn zu laut wird, können Sie Ihr Hörgerät vorübergehend herausnehmen.;Die klare Kommunikation mit Ihrem Friseur kann dazu beitragen, Missverständnisse zu vermeiden und sicherzustellen, dass Sie zufrieden mit dem Ergebnis sind.;Friseur.jpg;0;0;1;1;1;0;0;0;0;0;1;0
31;Pflege von Hörgeräten beim Friseur;Schützen Sie Ihre Hörgeräte vor Schäden.;Beim Waschen, Färben, Schneiden oder Sitzen unter dem Haartrockner sollten Sie Ihre Hörgeräte herausnehmen. Feuchtigkeit und Hitze können den empfindlichen Elektronikkomponenten der Hörgeräte schaden.;Durch vorbeugende Maßnahmen können Sie die Lebensdauer Ihrer Hörgeräte verlängern und sicherstellen, dass sie weiterhin einwandfrei funktionieren.;Friseur.jpg;0;0;1;1;1;0;0;0;0;0;1;0
32;Türöffnungssignal erkennen;Hören Sie das Türöffnungssignal.;Wenn der Straßenverkehr laut ist oder der Summton des Türsummers zu leise ist, legen Sie Ihre Hand auf den Lautsprecher, um Vibrationen zu spüren. Eine andere Lösung wäre die Verwendung von Türsystemen, die optische Rückmeldungen, z.B. ein grünes Licht, bieten.;Durch die Wahrnehmung von Vibrationen oder optischen Signalen können Sie sicherstellen, dass Sie keinen Türsummer überhören, auch wenn der akustische Ton schwer zu hören ist.;türklingel.jpg;1;1;1;1;1;0;0;0;1;0;1;0
33;Besuche in unbekanntem Umfeld;Problemlose Kommunikation bei Besuchen.;Wenn Sie Besuche in unbekannten Umgebungen planen, sprechen Sie mögliche Probleme im Voraus mit den Gastgebern ab. Vielleicht können Sie ein spezielles Klingelsignal vereinbaren.;Die Vorbesprechung von potenziellen Kommunikationsproblemen mit den Gastgebern kann dazu beitragen, Missverständnisse zu vermeiden und den Besuch angenehmer zu gestalten.;türklingel.jpg;1;1;1;1;1;0;0;0;1;0;1;0
34;Behördengänge;Reibungsloser Ablauf bei Behördengängen.;Wenn Sie zu Behörden gehen und die Lautsprecherdurchsagen nicht von einem visuellen Signal (z.B. einer Anzeigetafel mit Wartenummern) begleitet werden, bitten Sie darum, persönlich abgeholt zu werden, wenn Sie an der Reihe sind.;Dies stellt sicher, dass Sie keinen Aufruf verpassen und Ihre Anliegen bei der Behörde ohne unnötige Verzögerungen oder Missverständnisse bearbeitet werden.;behörde.jpg;1;0;0;0;1;0;0;0;1;0;1;0
35;Behördengänge mit Hörschwierigkeiten;Reibungsloser Ablauf bei Behördengängen.;Wenn Sie zu Behörden gehen und die Lautsprecherdurchsagen nicht von einem visuellen Signal (z.B. einer Anzeigetafel mit Wartenummern) begleitet werden, bitten Sie darum, persönlich abgeholt zu werden, wenn Sie an der Reihe sind.;Dies stellt sicher, dass Sie keinen Aufruf verpassen und Ihre Anliegen bei der Behörde ohne unnötige Verzögerungen oder Missverständnisse bearbeitet werden.;behörde.jpg;0;1;1;1;1;0;0;0;1;0;1;0
36;Kulturelle Veranstaltungen mit Hörgeräten;Genießen Sie Kultur trotz Hörschwierigkeiten.;Nutzen Sie Kirchen und Konzertsäle, die mit Ringschleifen ausgestattet sind oder moderne Funktechnik einsetzen. Erkundigen Sie sich vor dem Besuch einer Veranstaltung beim Veranstalter oder suchen Sie im Internet nach „barrierefrei“ oder „Induktion“ in Kombination mit dem Namen Ihrer Stadt.;"Es gibt viele kulturelle Orte, die für Menschen mit Hörgeräten zugänglich sind, und viele Ressourcen, die Ihnen helfen, diese Orte zu finden.

Ringschleifen sind spezielle Vorrichtungen, die elektromagnetische Signale senden, die von Hörgeräten aufgenommen werden können, um den Klang direkt zu verstärken. Es bietet klaren Sound ohne Hintergrundgeräusche";theater.jpg;0;0;1;1;0;0;0;0;0;1;0;0
37;Deutsche Schwerhörigenbund's Verzeichnis;Bleiben Sie über geeignete Orte bezüglich kulturellen Verantstaltungen informiert.;Der Deutsche Schwerhörigenbund erstellt ein Verzeichnis über Veranstaltungsorte, die mit Ringschleifen-, Infrarot- oder Funkanlagen ausgestattet sind. Beteiligen Sie sich und erkennen Sie die Orte anhand von speziellen Symbolen.;Dieses Verzeichnis ist eine großartige Ressource für Hörgeschädigte, um kulturelle Veranstaltungen zu finden, die für sie geeignet sind.;dsb.png;0;1;1;1;0;0;0;0;0;1;0;0
38;Auswahl des Veranstaltungsorts;Entscheiden Sie basierend auf Ihren individuellen Bedürfnissen.;Überlegen Sie, welche Art von Veranstaltungen für Sie am angenehmsten sind, aber scheuen Sie sich nicht davor, Verschiedenes auszuprobieren.;Jede kulturelle Erfahrung ist einzigartig, und was dem einen passt, gefällt   einen anderen vielleicht nicht. Entscheiden Sie nach Ihren Bedürfnissen und Vorlieben.;Ticket.jpg;1;0;0;0;0;0;0;0;0;1;0;0
39;Auswahl des Veranstaltungsorts;Entscheiden Sie basierend auf Ihren individuellen Bedürfnissen.;Es mag sein, dass Sie bei einer Fotoausstellung weniger Schwierigkeiten haben als bei einem Theaterstück. Überlegen Sie, welche Art von Veranstaltung für Sie am angenehmsten ist, aber scheuen Sie sich nicht davor, beide auszuprobieren.;Jede kulturelle Erfahrung ist einzigartig, und was für einen funktioniert, funktioniert vielleicht nicht für einen anderen. Entscheiden Sie nach Ihren Bedürfnissen und Vorlieben.;Ticket.jpg;0;1;1;1;0;0;0;0;0;1;0;0
40;Museumsbesuch zur richtigen Zeit ;Einen angenehmen Museumsbesuch erleben;Nutzen Sie besucherschwache Zeiten für einen ruhigeren Rundgang.;In Zeiten mit weniger Besuchern ist das Museumsumfeld ruhiger, was das Hören und Verstehen der Ausstellungen erleichtern kann, ohne von großen Menschenmengen gestört zu werden.;museum.jpg;1;1;1;1;0;0;0;0;0;1;0;0
41;Besseres Verständnis dank Audi-Guides;Das Verständnis bei Führungen verbessern;Ziehen Sie Audio-Guides mit vorfabrizierten Führungen in Betracht.;Professionelle Führungen sind oft schwer zu verstehen, vor allem dann, wenn sich der Sprecher immer wieder vom Publikum - also von Ihnen - abwendet. Audio-Guides mit klarer Artikulation und der Möglichkeit, Passagen zu wiederholen, können hier Abhilfe schaffen.;Audioguide.jpg;1;1;1;1;0;0;0;0;0;1;0;0
42;Audio-Guide mit Hörgerät;Optimalen Ton bei Nutzung von Audio-Guides;Passen Sie die Audio-Guides an Ihre Hörgeräte an. Je nach dem können Sie die Audio-Guides direkt mit Ihren Hörgeräte verbinden. ;Je nach Hörgerätetyp können Sie die Audio-Guides über einen Audioschuh (Ein Audioschuh ist ein Hörgerätezubehör, das für die direkte Verbindung zwischen einem externen Audiogerät und dem Hörgerät dient und üblicherweise an der Unterseite des Hörgeräts befestigt wird.) oder Audioeingang anschließen oder mittels einer Induktions-Halsschlaufe und der T-/T/M-Einstellung nutzen. Dies verbessert die Audioqualität erheblich und kann die Notwendigkeit, Hörgeräte herauszunehmen, eliminieren.;Audioguide.jpg;0;0;1;1;0;0;0;0;0;1;0;0
43;Induktions-Halsschlaufen mit Hörgerät;Die vielseitige Verwendung von Induktions-Halsschlaufen nutzen;Erwägen Sie die Anschaffung einer Induktions-Halsschlaufe. Diese können Sie mit verschiedenen Audioquellen wie Walkman, Discman, MP3-Player oder dem häuslichen Radio verbinden.;Induktive Höranlagen erweitern die Nutzungsmöglichkeiten Ihres Hörgeräts, indem sie kompatibel mit verschiedenen Audioquellen gemacht werden.;Audioguide.jpg;0;0;1;1;1;0;0;0;0;1;0;0
44;Video-Guides mit Gebärdensprache;Museumsbesuch ohne Kommunikationsbarrieren erleben;Nutzen Sie Video-Guides, die in Gebärdensprache durchs Museum führen.;Video-Guides, die in Gebärdensprache verfügbar sind, ermöglichen es hörgeschädigten Personen, Ausstellungen und Kunstwerke ohne Kommunikationsbarrieren zu erleben.;Audioguide.jpg;0;1;1;1;0;0;0;0;0;1;0;0
45;Induktionsschleifen im Kino;Kinofilme mit Hörgerät  besser verstehen;Wählen Sie Kinos aus, die mit einer Induktionsschleife ausgestattet sind.;Induktionsschleifen übertragen den Ton direkt an Ihr Hörgerät und verbessern das Hörerlebnis, indem sie Hintergrundgeräusche reduzieren.;Audioguide.jpg;0;0;1;1;0;0;0;0;0;1;0;0
46;Kinofilme in Muttersprache;Lippenlesen im Kino ermöglichen;Bevorzugen Sie Kinofilme in deutscher Sprache, um Lippenlesen zu ermöglichen.;Das Lippenlesen kann das Verständnis des Dialogs verbessern, besonders wenn es in Ihrer Muttersprache ist.;Kino.jpg;1;1;1;1;0;0;0;0;0;1;0;0
47;Filme mit Untertiteln;Filme besser verstehen;Wählen Sie untertitelte Filme für ein besseres Verständnis.;Untertitel helfen, dem Film zu folgen, selbst wenn der Ton schwer zu verstehen.;Kino.jpg;1;1;0;0;0;0;0;0;0;1;0;0
48;Filme mit Untertiteln;Filme besser verstehen;Wählen Sie untertitelte Filme für ein besseres Verständnis.;Untertitel helfen, dem Film zu folgen, selbst wenn der Ton schwer zu verstehen ist oder wenn Sie sich entscheiden, Ihre Hörgeräte nicht zu benutzen.;Kino.jpg;0;0;1;1;0;0;0;0;0;1;0;0
49;Kinobesuche ohne Hörgeräte;Vermeidung von akustischer Überlastung bei Kinobesuchen;Verzichten Sie bei untertitelten Filmen auf Hörgeräte, wenn die Musik stört.;Ohne störende Hintergrundmusik kann sich das Augenmerk ganz auf die visuellen Elemente und Untertitel konzentrieren.;Kino.jpg;0;0;1;1;0;0;0;0;0;1;0;0
50;Filme auf DVD, blu-ray oder Video;Vermeidung von akustischer Überlastung bei Kinobesuchen;Schauen Sie Filme lieber zu Hause, wenn sie Untertitel bieten.;DVDs , Blue-rays oder Videos ermöglichen es Ihnen, Untertitel zu nutzen und das Filmerlebnis in Ihrer eigenen Umgebung anzupassen.;Kino.jpg;1;1;1;1;0;0;0;0;0;1;0;0
51;Untertitel-Brille;Individuelle Untertitel-Anzeige;Nutzen Sie spezielle Brillen, die Untertitel im Kino einblenden.;Diese Brillen projizieren Untertitel direkt in Ihr Sichtfeld, was eine diskrete und persönliche Lösung zum Verfolgen des Filminhalts darstellt.;Kino.jpg;1;1;1;1;0;0;0;0;0;1;0;0
52;Einsatz moderner Technik im Konzert;Steigerung des Hörerlebnisses bie Konzerten;Nutzen Sie moderne Technik wie Induktions- und Funkanlagen in Konzertsälen, um Ihren Hörverlust zu kompensieren.;Induktions- und Funkanlagen in Konzertsälen übertragen die Musik direkt an Ihre Hörgeräte, was die Klangqualität verbessert und Hintergrundgeräusche minimiert.;Konzert.jpg;0;0;1;1;0;0;0;0;0;1;0;0
53;Schutz des Gehörs bei Live-Konzerten;Sicherer Musikgenuss;Halten Sie die Lautstärke und Dauer von lauten Konzerten in Massen, besonders nach einem Hörsturz.;"Zu laute Musik kann das Gehör schädigen. Die Intensität und Dauer der Beschallung sollten kontrolliert werden.
Direkt nach einem Hörsturz (plötzlicher, meist einseitiger Hörverlust ohne erkennbare äussere Ursache) ist das Gehör besonders empfindlich. Laute Geräusche können den Heilungsprozess stören oder weitere Schäden verursachen.";Konzert.jpg;1;1;1;1;0;0;0;0;0;1;0;0
54;Anpassung an kulturelle Umgebungen;Realistische Erwartungshaltung an kulturellen Erlebnisse;Akzeptieren Sie, dass die Raumakustik, Ihre Verfassung und die Darbietungen die Wahrnehmung beeinflussen.;Das Hörerlebnis ist subjektiv und wird von vielen Faktoren beeinflusst. Manchmal liegen die Gründe für eine unbefriedigende Erfahrung ausserhalb Ihrer Kontrolle.;Konzert.jpg;1;1;1;1;0;0;0;0;0;1;0;0
55;Sport trotz Hörverlust;Genuss von Sport trotz Hörverlust;Suchen Sie nach Sportgruppen für Hörgeschädigte oder probieren Sie verschiedene Sportarten aus.;Mit gleichbetroffenen Sportpartnern oder durch das Ausprobieren verschiedener Sportarten finden Sie heraus, was am besten zu Ihren Bedürfnissen passt.;turnhalle.jpg;0;0;1;1;0;0;0;0;0;0;0;0
56;Hörgeräte beim Sport ;Komfort beim Sport verbessern;Wählen Sie Sportarten aus, bei denen Hörgeräte nicht stören oder spezielle Ausrüstung für den Sport nutzen.;Bei manchen Sportarten wie Mannschaftssport in der Halle können Hörgeräte durch Akustik und Körperkontakt störend sein. Alternativen oder spezielle Ausrüstungen (wie bspw. Feuchtigkeits- und Stossschutz für Hörgeräte oder Knochenleitungshörgeräte) können helfen.;turnhalle.jpg;0;0;1;1;0;0;0;0;0;0;0;0
57;Hörgeräte beim Sport richtig tragen;Druck- und Rückkopplungseffekte beim Sport vermeiden;Achten Sie auf den richtigen Sitz Ihrer Hörgeräte, um Druck- und Rückkopplungseffekte zu minimieren.;Unbequemlichkeiten durch Druck auf die Hörgeräte bei körperlicher Anstrengung können reduziert werden, indem man den Sitz und die Passform überprüft.;turnhalle.jpg;0;0;1;1;0;0;0;0;0;0;0;0
58;Hörgeräte vor Feuchtigkeit schützen;Langlebigkeit der Hörgeräte sicherstellen;Wählen Sie Hörgeräte, die gegen Schweiss resistent sind, besonders wenn Sport eine wichtige Rolle spielt.;Wenn Sie oft Sport treiben, ist es wichtig, Hörgeräte zu wählen, die gegen Schweiss und Feuchtigkeit geschützt sind.;schwimmen.jpg;0;0;1;1;0;0;0;0;0;0;0;0
